Stn_No,time,Lat,Long,Precip
50136,1994,5328,12222,1807
50136,1995,5328,12222,2642
50136,1996,5328,12222,2783
50136,1997,5258,12231,2291
50136,1998,5258,12231,2745
50136,1999,5258,12231,2715
50136,2000,5258,12231,2086
50136,2001,5258,12231,2600
50136,2002,5258,12231,1220
50136,2003,5258,12231,4114
50136,2004,5258,12231,2894
50136,2005,5258,12231,1853
50136,2006,5258,12231,4126
50136,2007,5258,12231,2212
50136,2008,5258,12231,1616
50136,2009,5258,12231,3476
50136,2010,5258,12231,2778
50136,2011,5258,12231,2838
50136,2012,5258,12231,3284
50136,2013,5258,12231,3554
50136,2014,5258,12231,2734
50136,2015,5258,12231,2952
50136,2016,5258,12231,2910
50137,2002,5328,12222,1399
50137,2003,5328,12222,3282
50137,2004,5328,12222,1773
50137,2005,5328,12222,1325
50137,2006,5328,12222,4702
50137,2007,5328,12222,2908
50137,2008,5328,12222,1519
50137,2009,5328,12222,3688
50137,2010,5328,12222,3001
50137,2011,5328,12222,2058
50137,2012,5328,12222,3465
50137,2013,5328,12222,2983
50137,2014,5328,12222,2102
50137,2015,5328,12222,1676
50137,2016,5328,12222,3575
50246,1994,5219,12443,1799
50246,1995,5221,12443,2730
50246,1996,5221,12443,2475
50246,1997,5221,12443,3837
50246,1998,5221,12443,3436
50246,1999,5221,12443,2617
50246,2000,5221,12443,2958
50246,2001,5221,12443,3349
50246,2002,5221,12443,1181
50246,2003,5221,12443,4454
50246,2004,5221,12443,2558
50246,2005,5221,12443,1538
50246,2006,5221,12443,3613
50246,2007,5221,12443,2409
50246,2008,5221,12443,2447
50246,2009,5221,12443,3968
50246,2010,5221,12443,3238
50246,2011,5221,12443,2637
50246,2012,5221,12443,2713
50246,2013,5221,12443,4469
50246,2014,5221,12443,3035
50246,2015,5221,12443,3383
50246,2016,5221,12443,2994
50247,1994,5203,12340,2319
50247,1995,5202,12334,3345
50247,1996,5202,12334,2693
50247,1997,5202,12334,2846
50247,1998,5202,12334,3639
50247,1999,5202,12334,3744
50247,2000,5202,12334,3302
50247,2001,5202,12334,3618
50247,2002,5202,12334,1235
50247,2003,5202,12334,5628
50247,2004,5202,12334,2108
50247,2005,5202,12334,1623
50247,2006,5202,12334,3683
50247,2007,5202,12334,2759
50247,2008,5202,12334,2348
50247,2009,5202,12334,4741
50247,2010,5202,12334,3016
50247,2011,5202,12334,3138
50247,2012,5202,12334,4072
50247,2013,5202,12334,3991
50247,2014,5202,12334,3022
50247,2015,5202,12334,3691
50247,2016,5202,12334,3349
50349,1994,5142,12420,2315
50349,1995,5142,12420,2527
50349,1996,5142,12420,3434
50349,1997,5142,12420,3216
50349,1998,5142,12420,4806
50349,1999,5142,12420,3592
50349,2000,5142,12420,2698
50349,2001,5142,12420,3484
50349,2002,5142,12420,2729
50349,2003,5142,12420,4510
50349,2004,5142,12420,2516
50349,2005,5142,12420,1796
50349,2006,5142,12420,4299
50349,2007,5142,12420,3145
50349,2008,5142,12420,3459
50349,2009,5142,12420,4760
50349,2010,5142,12420,3899
50349,2011,5140,12424,3482
50349,2012,5140,12424,2570
50349,2013,5140,12424,5044
50349,2014,5140,12424,3026
50349,2015,5140,12424,3719
50349,2016,5140,12424,3347
50353,1994,5143,12639,1889
50353,1995,5143,12639,2744
50353,1996,5143,12639,3803
50353,1997,5143,12639,2725
50353,1998,5143,12639,1848
50353,1999,5143,12639,2327
50353,2000,5143,12639,2891
50353,2001,5143,12639,2170
50353,2002,5143,12639,2312
50353,2003,5143,12639,3967
50353,2004,5143,12639,2752
50353,2005,5143,12639,1640
50353,2006,5143,12639,3138
50353,2007,5143,12639,1728
50353,2008,5143,12639,2461
50353,2009,5143,12639,4208
50353,2010,5143,12639,3662
50353,2011,5143,12639,2340
50353,2012,5143,12639,2385
50353,2013,5144,12638,3829
50353,2014,5144,12638,1644
50353,2015,5144,12638,2199
50353,2016,5144,12638,2093
50425,1994,5015,12011,1516
50425,1995,5015,12011,1644
50425,1996,5015,12011,3851
50425,1997,5015,12011,2749
50425,1998,5015,12011,2933
50425,1999,5015,12011,2238
50425,2000,5015,12011,1636
50425,2001,5015,12011,1390
50425,2002,5015,12011,2227
50425,2003,5015,12011,2465
50425,2004,5015,12011,1436
50425,2005,5015,12011,2575
50425,2006,5015,12011,2115
50425,2007,5015,12011,1260
50425,2008,5015,12011,2391
50425,2009,5015,12011,2627
50425,2010,5015,12011,1943
50425,2011,5015,12011,2069
50425,2012,5015,12011,2244
50425,2013,5015,12011,4952
50425,2014,5015,12011,3341
50425,2015,5015,12011,2045
50425,2016,5015,12011,1834
50431,1994,5047,12131,2395
50431,1995,5047,12131,3078
50431,1996,5047,12131,3604
50431,1997,5047,12131,3289
50431,1998,5047,12131,3233
50431,1999,5047,12131,2114
50431,2000,5047,12131,1581
50431,2001,5047,12131,2291
50431,2002,5047,12131,1260
50431,2003,5047,12131,3591
50431,2004,5047,12131,1487
50431,2005,5047,12131,3117
50431,2006,5047,12131,3199
50431,2007,5047,12131,2195
50431,2008,5047,12131,3032
50431,2009,5047,12131,3891
50431,2010,5047,12131,2408
50431,2011,5047,12131,3445
50431,2012,5047,12131,2917
50431,2013,5047,12131,6386
50431,2014,5047,12131,3273
50431,2015,5047,12131,2786
50431,2016,5047,12131,1869
50434,1994,5029,12141,2056
50434,1995,5029,12141,2518
50434,1996,5029,12141,4109
50434,1997,5029,12141,3628
50434,1998,5029,12141,2817
50434,1999,5029,12141,2598
50434,2000,5029,12141,2130
50434,2001,5029,12141,2094
50434,2002,5029,12141,1616
50434,2003,5029,12141,3127
50434,2004,5029,12141,1495
50434,2005,5029,12141,1975
50434,2006,5029,12141,3020
50434,2007,5029,12141,1654
50434,2008,5029,12141,1993
50434,2009,5029,12141,3235
50434,2010,5029,12141,2025
50434,2011,5029,12141,3339
50434,2012,5029,12141,3024
50434,2013,5029,12141,5373
50434,2014,5029,12141,3923
50434,2015,5029,12141,3973
50434,2016,5029,12141,1821
50442,1994,5024,12407,2260
50442,1995,5024,12407,2082
50442,1996,5024,12407,5154
50442,1997,5024,12407,4278
50442,1998,5024,12407,5805
50442,1999,5024,12407,4457
50442,2000,5024,12407,3336
50442,2001,5024,12407,2694
50442,2002,5024,12407,2552
50442,2003,5024,12407,4292
50442,2004,5024,12407,2689
50442,2005,5024,12407,2006
50442,2006,5024,12407,4475
50442,2007,5024,12407,1915
50442,2008,5024,12407,3402
50442,2009,5024,12407,4099
50442,2010,5024,12407,4529
50442,2011,5024,12407,3418
50442,2012,5024,12407,2399
50442,2013,5024,12407,4835
50442,2014,5024,12407,3483
50442,2015,5024,12407,3708
50442,2016,5024,12407,2689
50445,1994,5035,12344,2239
50445,1995,5035,12344,3075
50445,1996,5035,12344,4576
50445,1997,5035,12344,4162
50445,1998,5035,12344,6936
50445,1999,5035,12344,4336
50445,2000,5035,12344,4164
50445,2001,5035,12344,3698
50445,2002,5035,12344,2676
50445,2003,5035,12344,4222
50445,2004,5035,12344,2080
50445,2005,5035,12344,3071
50445,2006,5035,12344,3581
50445,2007,5035,12344,2344
50445,2008,5035,12344,5004
50445,2009,5035,12344,4393
50445,2010,5035,12344,3620
50445,2011,5035,12344,4298
50445,2012,5035,12344,3525
50445,2013,5035,12344,5260
50445,2014,5035,12344,3690
50445,2015,5035,12344,3622
50445,2016,5035,12344,2688
50468,1994,5015,12727,3277
50468,1995,5015,12727,3016
50468,1996,5015,12727,3004
50468,1997,5015,12727,4679
50468,1998,5015,12727,3560
50468,1999,5015,12727,4386
50468,2000,5015,12727,2482
50468,2001,5015,12727,2067
50468,2002,5015,12727,3241
50468,2003,5015,12727,5298
50468,2004,5015,12727,2429
50468,2005,5015,12727,1505
50468,2006,5015,12727,6111
50468,2007,5015,12727,1926
50468,2008,5015,12727,2760
50468,2009,5015,12727,4597
50468,2010,5015,12727,5101
50468,2011,5015,12727,2199
50468,2012,5015,12727,3250
50468,2013,5015,12727,5356
50468,2014,5015,12727,1825
50468,2015,5015,12727,2168
50468,2016,5015,12727,2365
50514,1994,4934,11726,1597
50514,1995,4934,11726,2392
50514,1996,4934,11726,2760
50514,1997,4934,11726,1755
50514,1998,4934,11726,5121
50514,1999,4934,11726,1251
50514,2000,4934,11726,1509
50514,2001,4934,11726,746
50514,2002,4934,11726,2409
50514,2003,4934,11726,1367
50514,2004,4934,11726,425
50514,2005,4934,11726,892
50514,2006,4934,11726,1019
50514,2007,4934,11726,1963
50514,2008,4934,11726,2435
50514,2009,4934,11726,1403
50514,2010,4935,11719,1311
50514,2011,4935,11719,1403
50514,2012,4935,11719,1666
50514,2013,4935,11719,3907
50514,2014,4935,11719,2487
50514,2015,4935,11719,1493
50514,2016,4935,11719,634
50524,1994,4919,11926,1797
50524,1995,4919,11926,1314
50524,1996,4919,11926,3341
50524,1997,4919,11926,2668
50524,1998,4919,11926,3061
50524,1999,4919,11926,1617
50524,2000,4919,11926,2106
50524,2001,4919,11926,1056
50524,2002,4919,11926,2058
50524,2003,4919,11926,1619
50524,2004,4919,11926,1016
50524,2005,4919,11926,2175
50524,2006,4919,11926,1728
50524,2007,4919,11926,1705
50524,2008,4919,11926,2026
50524,2009,4919,11926,2985
50524,2010,4919,11926,1316
50524,2011,4919,11926,3345
50524,2012,4919,11926,2014
50524,2013,4919,11926,3879
50524,2014,4919,11926,2641
50524,2015,4919,11926,1690
50524,2016,4919,11926,771
50525,1994,4909,11945,2346
50525,1995,4909,11945,1803
50525,1996,4909,11945,3172
50525,1997,4909,11945,2405
50525,1998,4909,11945,3288
50525,1999,4909,11945,1875
50525,2000,4909,11945,2624
50525,2001,4909,11945,1433
50525,2002,4909,11945,2105
50525,2003,4909,11945,1478
50525,2004,4909,11945,1584
50525,2005,4909,11945,2024
50525,2006,4909,11945,1357
50525,2007,4909,11945,1296
50525,2008,4909,11945,1773
50525,2009,4909,11945,2834
50525,2010,4909,11945,1603
50525,2011,4909,11945,2421
50525,2012,4909,11945,2299
50525,2013,4909,11945,4033
50525,2014,4909,11945,2439
50525,2015,4909,11945,1846
50525,2016,4909,11945,1024
50526,1994,4917,12042,2197
50526,1995,4917,12042,1752
50526,1996,4917,12042,2790
50526,1997,4917,12042,3786
50526,1998,4917,12042,3537
50526,1999,4917,12042,1552
50526,2000,4917,12042,1790
50526,2001,4917,12042,2151
50526,2002,4917,12042,2580
50526,2003,4917,12042,2508
50526,2004,4917,12042,1815
50526,2005,4917,12042,2311
50526,2006,4917,12042,2343
50526,2007,4917,12042,1325
50526,2008,4917,12042,2132
50526,2009,4917,12042,3765
50526,2010,4917,12042,1749
50526,2011,4917,12042,2439
50526,2012,4917,12042,2904
50526,2013,4917,12042,4080
50526,2014,4917,12042,3025
50526,2015,4917,12042,2470
50526,2016,4917,12042,1599
50527,1994,4913,11945,2056
50527,1995,4913,11945,1479
50527,1996,4913,11945,3325
50527,1997,4913,11945,2662
50527,1998,4913,11945,2852
50527,1999,4913,11945,1634
50527,2000,4913,11945,2958
50527,2001,4913,11945,1690
50527,2002,4913,11945,2231
50527,2003,4913,11945,2010
50527,2004,4913,11945,1861
50527,2005,4913,11945,1976
50527,2006,4913,11945,1438
50527,2007,4913,11945,1379
50527,2008,4913,11945,2096
50527,2009,4913,11945,2692
50527,2010,4913,11945,1429
50527,2011,4915,11942,2538
50527,2012,4915,11942,2174
50527,2013,4915,11942,4374
50527,2014,4915,11942,3071
50527,2015,4915,11942,2050
50527,2016,4915,11942,1379
50548,1994,4912,12343,2777
50548,1995,4912,12343,1920
50548,1996,4912,12343,4395
50548,1997,4912,12343,2989
50548,1998,4912,12343,7878
50548,1999,4912,12343,2950
50548,2000,4912,12343,2531
50548,2001,4912,12343,3059
50548,2002,4912,12343,3246
50548,2003,4912,12343,4190
50548,2004,4912,12343,1917
50548,2005,4912,12343,2612
50548,2006,4912,12343,4413
50548,2007,4912,12343,1375
50548,2008,4912,12343,2739
50548,2009,4912,12343,3930
50548,2010,4912,12343,4013
50548,2011,4912,12343,4073
50548,2012,4912,12343,3525
50548,2013,4912,12343,3951
50548,2014,4912,12343,4170
50548,2015,4912,12343,3522
50548,2016,4912,12343,1810
50557,1994,4910,12514,3136
50557,1995,4910,12514,3219
50557,1996,4910,12514,3120
50557,1997,4910,12514,3002
50557,1998,4910,12514,3691
50557,1999,4910,12514,3364
50557,2000,4910,12514,2524
50557,2001,4910,12514,2273
50557,2002,4910,12514,2334
50557,2003,4910,12514,3832
50557,2004,4910,12514,2250
50557,2005,4910,12514,1700
50557,2006,4910,12514,2891
50557,2007,4910,12514,1481
50557,2008,4910,12514,3073
50557,2009,4910,12514,3598
50557,2010,4910,12514,4110
50557,2011,4910,12514,2209
50557,2012,4910,12514,2550
50557,2013,4910,12514,4427
50557,2014,4910,12514,3149
50557,2015,4910,12514,1804
50557,2016,4910,12514,1482
50564,1994,4926,12721,3003
50564,1995,4926,12721,2783
50564,1996,4926,12721,4057
50564,1997,4926,12721,2958
50564,1998,4926,12721,3559
50564,1999,4926,12721,6200
50564,2000,4926,12721,2827
50564,2001,4926,12721,2127
50564,2002,4926,12721,3140
50564,2003,4926,12721,5855
50564,2004,4926,12721,2174
50564,2005,4926,12721,1805
50564,2006,4926,12721,3699
50564,2007,4926,12721,1806
50564,2008,4926,12721,1737
50564,2009,4926,12721,4947
50564,2010,4926,12721,3519
50564,2011,4926,12721,2187
50564,2012,4926,12721,2746
50564,2013,4926,12721,5361
50564,2014,4926,12721,3171
50564,2015,4926,12721,4568
50564,2016,4926,12721,3128
50566,1994,4935,12828,2328
50566,1995,4935,12828,2673
50566,1996,4935,12828,2131
50566,1997,4935,12828,3491
50566,1998,4935,12828,2487
50566,1999,4935,12828,3950
50566,2000,4935,12828,1701
50566,2001,4934,12828,3478
50566,2002,4934,12828,3785
50566,2003,4934,12828,4570
50566,2004,4934,12828,1602
50566,2005,4934,12828,2383
50566,2006,4934,12828,3066
50566,2007,4933,12828,2242
50566,2008,4933,12828,1970
50566,2009,4933,12828,3977
50566,2010,4933,12828,3749
50566,2011,4933,12828,2865
50566,2012,4933,12828,3702
50566,2013,4933,12828,4671
50566,2014,4933,12828,2390
50566,2015,4933,12828,2852
50566,2016,4933,12828,3168
50603,1994,4840,11649,2861
50603,1995,4840,11649,730
50603,1996,4840,11649,1811
50603,1997,4840,11649,2394
50603,1998,4840,11649,4841
50603,1999,4840,11649,1166
50603,2000,4840,11649,848
50603,2001,4840,11649,612
50603,2002,4840,11649,1852
50603,2003,4840,11649,792
50603,2004,4840,11649,506
50603,2005,4840,11649,558
50603,2006,4840,11649,1246
50603,2007,4840,11649,1767
50603,2008,4840,11649,2046
50603,2009,4840,11649,1476
50603,2010,4840,11649,696
50603,2011,4840,11649,940
50603,2012,4840,11649,1502
50603,2013,4840,11649,2439
50603,2014,4840,11649,2289
50603,2015,4841,11649,1102
50603,2016,4841,11649,416
50618,1994,4813,11816,1657
50618,1995,4813,11816,1506
50618,1996,4813,11816,2979
50618,1997,4813,11816,1958
50618,1998,4813,11816,4493
50618,1999,4813,11816,1046
50618,2000,4813,11816,1900
50618,2001,4813,11816,965
50618,2002,4813,11816,2142
50618,2003,4813,11816,1602
50618,2004,4813,11816,1254
50618,2005,4813,11816,1089
50618,2006,4813,11816,2005
50618,2007,4813,11816,1552
50618,2008,4813,11816,1638
50618,2009,4813,11816,1454
50618,2010,4813,11816,686
50618,2011,4813,11816,2410
50618,2012,4813,11816,2480
50618,2013,4813,11816,3685
50618,2014,4813,11816,1974
50618,2015,4813,11816,1078
50618,2016,4813,11816,773
50632,1994,4846,12155,2416
50632,1995,4846,12155,1781
50632,1996,4846,12155,3563
50632,1997,4846,12155,4470
50632,1998,4846,12155,5885
50632,1999,4846,12155,2362
50632,2000,4846,12155,2183
50632,2001,4846,12155,2584
50632,2002,4846,12155,3346
50632,2003,4846,12155,3748
50632,2004,4846,12155,1554
50632,2005,4846,12155,2429
50632,2006,4846,12155,3526
50632,2007,4846,12155,1275
50632,2008,4846,12155,3253
50632,2009,4846,12155,4081
50632,2010,4846,12155,2736
50632,2011,4846,12155,3546
50632,2012,4846,12155,3116
50632,2013,4846,12155,5040
50632,2014,4846,12155,4585
50632,2015,4846,12155,3747
50632,2016,4846,12155,2875
50639,1994,4800,12244,3430
50639,1995,4800,12244,3497
50639,1996,4800,12244,3586
50639,1997,4800,12244,3802
50639,1998,4800,12244,9524
50639,1999,4800,12244,2668
50639,2000,4800,12244,2188
50639,2001,4800,12244,1329
50639,2002,4800,12244,3474
50639,2003,4800,12244,4322
50639,2004,4800,12244,1644
50639,2005,4800,12244,3037
50639,2006,4800,12244,2867
50639,2007,4800,12244,2038
50639,2008,4800,12244,3269
50639,2009,4800,12244,4201
50639,2010,4800,12244,3724
50639,2011,4800,12244,3753
50639,2012,4800,12244,3748
50639,2013,4800,12244,5554
50639,2014,4800,12244,4664
50639,2015,4800,12244,5201
50639,2016,4800,12244,3100
50645,1994,4828,12429,3730
50645,1995,4828,12429,2435
50645,1996,4828,12429,2272
50645,1997,4828,12429,3894
50645,1998,4828,12429,6531
50645,1999,4828,12429,4078
50645,2000,4828,12429,1466
50645,2001,4828,12429,2940
50645,2002,4828,12429,2070
50645,2003,4828,12429,3639
50645,2004,4829,12429,1914
50645,2005,4829,12429,2203
50645,2006,4829,12429,2698
50645,2007,4829,12429,1951
50645,2008,4829,12429,2927
